TrialIndex,Subject,Congruence,ResponseTime,Correct
4466,13,1,380,1
4467,13,2,511,1
4468,13,2,469,1
4469,13,2,533,1
4470,13,2,594,1
4471,13,2,493,1
4472,13,1,524,1
4473,13,1,434,1
4474,13,2,499,1
4475,13,2,578,1
4476,13,2,485,1
4477,13,2,557,1
4478,13,1,497,1
4479,13,1,448,1
4640,14,2,673,1
4641,14,1,505,1
4642,14,2,536,1
4643,14,1,525,1
4644,14,2,715,1
4645,14,2,560,1
4646,14,2,628,1
4647,14,1,542,1
4648,14,2,787,1
4649,14,1,862,1
4650,14,2,598,1
4651,14,2,625,1
4652,14,2,451,1
4653,14,1,596,1
4654,14,1,519,1
4655,14,2,669,1
4656,14,1,685,1
4657,14,1,604,1
4658,14,2,535,1
4659,14,2,564,1
4660,14,1,648,1
4661,14,2,593,1
4662,14,1,532,1
4663,14,1,601,1
4664,14,1,556,1
4665,14,2,481,1
4666,14,1,544,1
4667,14,1,541,1
4668,14,1,626,1
4669,14,1,523,1
4670,14,2,529,1
4671,14,2,639,1
4768,14,2,561,1
4769,14,1,461,1
4770,14,1,477,1
4771,14,2,516,1
4772,14,1,553,1
4773,14,1,486,1
4774,14,1,989,1
4775,14,2,577,1
4776,14,1,460,1
4777,14,1,460,1
4778,14,2,604,1
4779,14,2,615,1
4780,14,1,713,1
4781,14,1,519,1
4782,14,2,573,1
4783,14,1,897,1
4784,14,2,544,1
4785,14,1,405,1
4786,14,2,583,1
4787,14,1,667,1
4788,14,2,475,1
4789,14,2,563,1
4790,14,2,711,1
4791,14,1,581,1
4792,14,2,848,1
4793,14,2,753,1
4794,14,2,606,1
4795,14,1,481,1
4796,14,2,592,1
4797,14,1,571,1
4798,14,1,655,1
4799,14,2,664,1
4896,14,1,544,1
4897,14,2,533,0
4898,14,1,622,1
4899,14,2,552,1
4900,14,1,749,1
4901,14,1,537,1
4902,14,1,830,1
4903,14,1,560,1
4904,14,2,708,1
4905,14,2,1027,1
4906,14,2,852,1
4907,14,1,597,1
4908,14,2,696,1
4909,14,2,806,1
4910,14,2,529,1
4911,14,1,583,1
4912,14,2,554,1
4913,14,2,463,1
4914,14,2,671,1
4915,14,1,591,1
