TrialIndex,Subject,Congruence,ResponseTime,Correct
4887,14,2,539,1
4888,14,1,424,1
4889,14,2,530,1
4890,14,1,624,1
4891,14,2,650,1
4892,14,2,531,1
4893,14,2,552,1
4894,14,2,589,1
4895,14,1,560,1
4992,14,1,614,1
4993,14,1,504,1
4994,14,2,551,1
4995,14,2,468,1
4996,14,1,852,1
4997,14,2,917,1
4998,14,2,1267,1
4999,14,2,451,1
5000,14,2,564,1
5001,14,1,408,1
5002,14,2,570,1
5003,14,1,511,1
5004,14,2,525,1
5005,14,2,1131,1
5006,14,2,536,1
5007,14,1,470,1
5008,14,1,638,1
5009,14,1,511,1
5010,14,1,477,1
5011,14,2,740,1
5012,14,1,498,1
5013,14,2,776,1
5014,14,1,644,1
5015,14,2,957,1
5016,14,1,585,1
5017,14,1,765,1
5018,14,1,649,1
5019,14,2,610,1
5020,14,1,508,1
5021,14,2,546,1
5022,14,2,1047,1
5023,14,1,864,1
5120,14,1,390,1
5121,14,1,529,1
5122,14,2,695,1
5123,14,2,605,1
5124,14,1,568,1
5125,14,2,572,1
5126,14,1,568,1
5127,14,2,484,1
5128,14,1,548,1
5129,14,2,720,1
5130,14,1,534,1
5131,14,1,1028,1
5132,14,2,469,1
5133,14,2,605,1
5134,14,2,664,1
5135,14,2,616,1
5136,14,1,706,1
5137,14,1,505,1
5138,14,2,592,1
5139,14,2,595,0
5140,14,1,426,1
5141,14,2,620,1
5142,14,1,614,1
5143,14,2,728,1
5144,14,1,581,1
5145,14,1,433,1
5146,14,1,442,1
5147,14,1,755,1
5148,14,2,600,1
5149,14,2,755,1
5150,14,1,655,1
5151,14,2,656,1
5248,14,2,548,1
5249,14,2,497,1
5250,14,1,456,1
5251,14,1,576,1
5252,14,1,508,1
5253,14,2,635,1
5254,14,1,612,1
5255,14,2,582,1
5256,14,2,441,1
5257,14,2,443,1
5258,14,1,459,1
5259,14,2,555,1
5260,14,1,1152,1
5261,14,2,621,1
5262,14,2,407,1
5263,14,1,658,1
5264,14,1,474,1
5265,14,1,1075,1
5266,14,1,355,1
5267,14,1,615,1
5268,14,2,825,1
5269,14,1,668,1
5270,14,1,388,1
5271,14,2,543,1
5272,14,1,652,1
5273,14,2,716,1
5274,14,2,507,1
5275,14,1,481,1
5276,14,2,577,1
5277,14,1,556,1
5278,14,2,569,1
5279,14,2,605,1
5600,15,1,937,1
5601,15,1,430,1
5602,15,2,464,1
5603,15,1,304,1
5604,15,2,454,1
5605,15,1,303,1
5606,15,2,558,1
5607,15,1,466,1
5608,15,2,602,1
5609,15,2,597,1
5610,15,1,384,1
5611,15,2,395,1
5612,15,2,326,1
5613,15,1,356,1
5614,15,1,528,1
5615,15,1,510,1
5616,15,1,452,1
5617,15,2,436,1
5618,15,1,470,1
5619,15,2,502,1
5620,15,2,405,1
5621,15,1,447,1
5622,15,1,368,1
5623,15,2,556,1
5624,15,1,464,1
5625,15,1,344,1
5626,15,2,524,1
5627,15,2,514,1
5628,15,2,464,1
5629,15,1,608,1
5630,15,2,443,1
5631,15,2,412,1
5728,15,2,595,1
5729,15,2,374,1
5730,15,2,418,1
5731,15,1,444,1
5732,15,2,524,1
5733,15,2,490,1
5734,15,1,362,1
5735,15,1,494,1
5736,15,1,420,1
5737,15,2,446,1
5738,15,2,407,1
5739,15,2,330,1
5740,15,2,431,1
5741,15,2,424,1
5742,15,1,394,1
5743,15,2,413,1
5744,15,1,375,1
5745,15,1,331,1
5746,15,1,304,1
5747,15,2,319,0
5748,15,1,337,1
